Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
HQSMS,29/12/2017,41423,E-SECURE SARL,CHE,COMPUTER SERVICES,"206,884"
HQSMS,29/12/2017,41425,Open Systems AG,CHE,SECURITY/ SAFETY SERVICES,"373,690"
HQSMS,29/12/2017,41427,TOYOTA MOTOR CORPORATION,JPN,4x4 DC PICK-UP,"1,048,969"
HQSMS,29/12/2017,41427,TOYOTA MOTOR CORPORATION,JPN,4x4 SC PICP-UP,"236,233"
HQSMS,29/12/2017,41427,TOYOTA MOTOR CORPORATION,JPN,4x4 STATION WAGON,"3,169,908"
HQSMS,29/12/2017,41427,TOYOTA MOTOR CORPORATION,JPN,MINIBUS,"178,187"
HQSMS,29/12/2017,41432,WHO (UNICC),CHE,COMPUTER SERVICES,"146,000"
HQSMS,29/12/2017,41435,HCL Technologies Limited,IND,FINANCIAL SERVICES,"197,440"
HQSMS,29/12/2017,41437,GOLDEN AFRICA KENYA LIMITED,KEN,SOAP/CLEANING /HYGIENE SUPPLIE,"259,000"
KEN01,29/12/2017,10534,DALBIT PETROLEUM LIMITED,KEN,DIESEL,"183,374"
KEN01,29/12/2017,10535,EQUITY BANK KENYA LTD,KEN,FINANCIAL SERVICES,"122,798"
UGA01,29/12/2017,6599,Blue Pearls Co Limited,UGA,CARGO/PASSENGER TRANSPORT,"4,000,000"
BGD01,28/12/2017,1299,S. M. ENTERPRISE,BGD,FUELS (UNSPECIFIED),"105,059"
BGD01,28/12/2017,1300,M/s. Zim Traders,BGD,FUELS (UNSPECIFIED),"128,040"
BGD01,28/12/2017,1303,Shopno Construction,BGD,MAINTENANCE/ CONSTRUCTION SER,"251,639"
BGD01,28/12/2017,1305,M/S. Moss Enterprise,BGD,BLANKETS,"436,791"
BGD01,28/12/2017,1306,M/S Zaman Bhai (Pvt). Ltd,BGD,BEDCLOTHES/ MATRESSES/ TOWELS,"464,320"
BGD01,28/12/2017,1307,M/S. Moss Enterprise,BGD,BLANKETS,"218,395"
BGD01,28/12/2017,1312,Modern Graphics Stationary Supply,BGD,WATER TREATMENT EQUIP/ SUPPL,"1,662,741"
BGD01,28/12/2017,1313,Shopno Construction,BGD,MAINTENANCE/ CONSTRUCTION SER,"101,311"
BGD01,28/12/2017,1316,Neo Craft,BGD,BEDCLOTHES/ MATRESSES/ TOWELS,"210,137"
BGD01,28/12/2017,1319,FARDIN TRADERS,BGD,WATER BUCKET/ BASINE,"112,055"
CMR01,28/12/2017,4811,DGSN-CAMEROUN,CMR,SIGNAGE/ PI ACCESSORIES,"169,375"
COD01,28/12/2017,7072,AFRICAN INITIATIVE FOR RELIEF AND DEV.,COD,BUSINESS/ ADMINISTRATIVE SER,"335,315"
DONIK,28/12/2017,495,Dept.Foreign Affairs devel. Co-operation,IRL,BUSINESS/ ADMINISTRATIVE SER,"146,000"
DONIK,28/12/2017,496,The Swedish Civil Contingencies,SWE,BUSINESS/ ADMINISTRATIVE SER,"721,000"
DONIK,28/12/2017,497,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"1,249,000"
DONIK,28/12/2017,498,DANISH REFUGEE COUNCIL,DNK,BUSINESS/ ADMINISTRATIVE SER,"330,000"
DONIK,28/12/2017,499,Norwegian Refugee council,NOR,BUSINESS/ ADMINISTRATIVE SER,"724,500"
DONIK,28/12/2017,500,RedR Australia Ltd,CHE,BUSINESS/ ADMINISTRATIVE SER,"121,000"
ETH01,28/12/2017,6335,Tadesse Hailu Building contractor,ETH,MAINTENANCE/ CONSTRUCTION SER,"111,821"
ETH01,28/12/2017,6365,PHARMALAB PLC,ETH,MISC LABORATORY EQUIP/SUPPL,"378,631"
ETH01,28/12/2017,6395,DH GEDA BALNKET FACTORY,ETH,BLANKETS,"135,680"
HQSMS,28/12/2017,41367,W.Giertsen Energy Solutions AS,NOR,LAMP/ LAMP COMPONENTS,"438,492"
HQSMS,28/12/2017,41371,NUTRISET SAS,FRA,CARGO/PASSENGER TRANSPORT,"105,699"
HQSMS,28/12/2017,41371,NUTRISET SAS,FRA,PREPARED/ PRESERVED FOODS,"528,499"
HQSMS,28/12/2017,41375,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"412,304"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,28/12/2017,41376,EDILSIDER S.P.A.,ITA,PREFABRICATED House,"170,400"
HQSMS,28/12/2017,41377,KITCHEN ESSENTIALS,IND,KITCHENWARE,"288,453"
HQSMS,28/12/2017,41384,Bollore Logistics India Limited,IND,CARGO/PASSENGER TRANSPORT,"353,814"
HQSMS,28/12/2017,41388,ACCENTURE AG,CHE,COMPUTER SERVICES,"207,488"
HQSMS,28/12/2017,41395,ACCENTURE AG,CHE,COMPUTER SERVICES,"215,765"
HQSMS,28/12/2017,41399,DANOFFICE PLC,DNK,COMPUTERS,"161,370"
HQSMS,28/12/2017,41403,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"106,341"
HQSMS,28/12/2017,41407,DANOFFICE PLC,DNK,COMPUTERS,"112,455"
HQSMS,28/12/2017,41410,CENTURY AUTOMOBILES (NAIROBI) LIMITED,KEN,SPARE PARTS/ ACCESSORIES,"413,021"
KEN01,28/12/2017,10513,MEDISEL (KENYA) LIMITED,KEN,SPECIALIZED DRUGS,"247,942"
KEN01,28/12/2017,10522,TOTAL KENYA LIMITED,KEN,DIESEL,"145,789"
KEN01,28/12/2017,10526,BOLDATA SYSTEM LIMITED,KEN,COMPUTER SERVICES,"250,000"
KEN01,28/12/2017,10530,SYNCHROLITE GENERAL CONTRACTORS LTD,KEN,MAINTENANCE/ CONSTRUCTION SER,"242,991"
KEN01,28/12/2017,10532,ISUZU EAST AFRICA LIMITED,KEN,MINIBUSES/ BUSES,"274,842"
LBN01,28/12/2017,2747,DARWICHE MOHAMAD HUSSEIN AND ALI,LBN,BUSINESS/ ADMINISTRATIVE SER,"650,000"
MWI01,28/12/2017,1206,Chakhuwala Building Contractor,MWI,MAINTENANCE/ CONSTRUCTION SER,"145,096"
SSD01,28/12/2017,3332,DAVIS AND SHIRTLIFF Ltd.,KEN,SOLAR GENERATORS/ SUPPLIES,"200,680"
SSD01,28/12/2017,3333,RELIEFLINE AFRICA LTD,SSD,SOLAR GENERATORS/ SUPPLIES,"129,789"
SSD01,28/12/2017,3337,WS INSIGHT LIMITED,KEN,SECURITY/ SAFETY SERVICES,"240,000"
SYR01,28/12/2017,4924,KARDISI Co.,IRQ,AIR CONDITIONING EQUIP/ SUPPL,"574,130"
UGA01,28/12/2017,6550,ARC CONSTRUCTION AND SUPPLIES CO LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"108,507"
UGA01,28/12/2017,6554,UTECH CONSTRUCTION COMPANY LIMITED,UGA,MAINTENANCE/ CONSTRUCTION SER,"107,115"
UGA01,28/12/2017,6555,POLAD UGANDA LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"120,198"
UGA01,28/12/2017,6562,NILE STAR TRADE LINK,UGA,CARGO/PASSENGER TRANSPORT,"1,102,465"
