Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
CAF01,31/12/2018,2098,MERCY CORPS,CAF,BUSINESS/ ADMINISTRATIVE SER,"176,655"
GRC01,31/12/2018,3263,KIMONAS SAXIONIS-X.SAXIONI OE,GRC,MEETING/TRAVEL/ FOOD SER,"180,000"
HQSMS,31/12/2018,45572,African Generator Company,ZAF,POWER GENERATORS,"151,092"
HQSMS,31/12/2018,45579,TOYOTA TSUSHO CORPORATION,JPN,4x4 STATION WAGON,"424,386"
HQSMS,31/12/2018,45579,TOYOTA TSUSHO CORPORATION,JPN,SEDAN,"295,411"
HQSMS,31/12/2018,45586,African Generator Company,ZAF,WATER COOLED POWER GENERATORS,"103,375"
PAK01,31/12/2018,5890,Pakistan Poverty Alleviation Fund,PAK,BUSINESS/ ADMINISTRATIVE SER,"375,803"
ETH01,30/12/2018,7597,PHARMALAB PLC,ETH,MISC LABORATORY EQUIP/SUPPL,"370,200"
SSD01,29/12/2018,3813,THE MEDICAL EXPORT GROUP BV,NLD,MISC MEDICAL SUPPLIES,"119,307"
COD01,28/12/2018,7773,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"312,679"
COD01,28/12/2018,7774,EASTERN SURGICAL COMPANY,IND,MISC MEDICAL SUPPLIES,"245,003"
HQSMS,28/12/2018,45502,UltiSat Inc.,USA,NETWORK COMPONENTS / ACCESS,"327,784"
HQSMS,28/12/2018,45508,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"2,429,511"
HQSMS,28/12/2018,45517,TOTAL ACCESS TO ENERGY SOLUTIONS,FRA,LAMP/ LAMP COMPONENTS,"1,085,400"
HQSMS,28/12/2018,45518,TOTAL ACCESS TO ENERGY SOLUTIONS,FRA,LAMP/ LAMP COMPONENTS,"317,602"
HQSMS,28/12/2018,45522,O.K.I. GENERAL TRADING LLC,ARE,KITCHENWARE,"105,072"
HQSMS,28/12/2018,45523,KITCHEN ESSENTIALS,IND,KITCHENWARE,"249,054"
HQSMS,28/12/2018,45524,ICOM FRANCE,FRA,VHF EQUIPMENT,"103,069"
HQSMS,28/12/2018,45529,TOYOTA TSUSHO CORPORATION,JPN,4x4 DC PICK-UP,"828,515"
HQSMS,28/12/2018,45529,TOYOTA TSUSHO CORPORATION,JPN,4x4 STATION WAGON,"3,389,504"
HQSMS,28/12/2018,45529,TOYOTA TSUSHO CORPORATION,JPN,MINIBUS,"195,532"
HQSMS,28/12/2018,45530,KITCHEN ESSENTIALS,IND,KITCHENWARE,"809,453"
HQSMS,28/12/2018,45540,ARB Corporation Ltd.,AUS,SPARE PARTS/ ACCESSORIES,"119,026"
HQSMS,28/12/2018,45542,KITCHEN ESSENTIALS,IND,KITCHENWARE,"224,848"
