Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Descr,USD Amount
DONIK,31/12/2016,381,TOMS SHOES LLC,USA,FOOTWEAR,"422,711"
DONIK,31/12/2016,382,TOMS SHOES LLC,USA,FOOTWEAR,"1,152,645"
DONIK,31/12/2016,383,TOMS SHOES LLC,USA,FOOTWEAR,"116,150"
DONIK,31/12/2016,392,Fast Retailing Co. Ltd.,JPN,CLOTHING,"497,134"
DONIK,31/12/2016,397,UPS Foundation,USA,TRANSPORT SUPPORT,"145,000"
HQSMS,30/12/2016,37301,TOYOTA MOTOR CORPORATION,JPN,4x4 STATION WAGON,"498,001"
HQSMS,30/12/2016,37301,TOYOTA MOTOR CORPORATION,JPN,4x4 DC PICK-UP,"311,276"
HQSMS,30/12/2016,37301,TOYOTA MOTOR CORPORATION,JPN,4x4 STATION WAGON,"191,278"
HQSMS,30/12/2016,37312,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"370,750"
HQSMS,30/12/2016,37319,LANDESK UK Ltd.,GBR,COMPUTER SERVICES,"158,590"
HQSMS,30/12/2016,37322,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"144,760"
HQSMS,30/12/2016,37324,UNITED NATIONS OFFICE AT GENEVA,CHE,BUSINESS/ ADMINISTRATIVE SER,"400,000"
LBN01,30/12/2016,2340,MICROSOFT IRELAND OPERATIONS LTD,IRL,COMPUTER SERVICES,"114,084"
HQSMS,29/12/2016,37238,KITCHEN ESSENTIALS,IND,KITCHENWARE,"310,429"
HQSMS,29/12/2016,37238,KITCHEN ESSENTIALS,IND,KITCHENWARE,"107,214"
HQSMS,29/12/2016,37242,NOVACOM SERVICES,FRA,SATELLITE EQUIP/ ACCESSORIES,"115,000"
HQSMS,29/12/2016,37257,TOYOTA MOTOR CORPORATION,JPN,SEDAN,"109,900"
HQSMS,29/12/2016,37259,KPMG France SA,FRA,FINANCIAL SERVICES,"240,756"
HQSMS,29/12/2016,37263,Moore Stephens LLP,GBR,FINANCIAL SERVICES,"187,764"
JOR01,29/12/2016,4448,Bibars Foam MFG.,JOR,BEDCLOTHES/ MATRESSES/ TOWELS,"149,996"
UGA01,29/12/2016,5925,KEYSTONE CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"142,715"
UGA01,29/12/2016,5926,KEYSTONE CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"112,442"
UGA01,29/12/2016,5927,KEYSTONE CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"120,041"
UGA01,29/12/2016,5928,BCM CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"131,229"
DONIK,28/12/2016,391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"159,500"
DONIK,28/12/2016,391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"165,500"
DONIK,28/12/2016,391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"130,000"
DONIK,28/12/2016,391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"219,500"
DONIK,28/12/2016,391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"650,500"
DONIK,28/12/2016,391,SWISS AGENCY FOR DEVELPMNT & COOPERATION,GEO,BUSINESS/ ADMINISTRATIVE SER,"975,000"
GRC01,28/12/2016,1890,INTRAKAT,GRC,PREFABRICATED House,"100,040"
GRC01,28/12/2016,1890,INTRAKAT,GRC,PREFABRICATED House,"100,040"
HQSMS,28/12/2016,37203,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"273,600"
HQSMS,28/12/2016,37206,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"169,100"
HQSMS,28/12/2016,37208,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"117,925"
HQSMS,28/12/2016,37209,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"128,820"
HQSMS,28/12/2016,37212,KUEHNE AND NAGEL A/S,DNK,TRANSPORT SUPPORT,"148,740"
HQSMS,28/12/2016,37234,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"164,664"
HQSMS,28/12/2016,37237,KITCHEN ESSENTIALS,IND,KITCHENWARE,"486,242"
UGA01,28/12/2016,5920,BCM CONSTRUCTION LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"135,661"
GRC01,27/12/2016,1889,INTRAKAT,GRC,PREFABRICATED House,"101,348"
GRC01,27/12/2016,1889,INTRAKAT,GRC,PREFABRICATED House,"104,446"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,27/12/2016,37159,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"957,420"
HQSMS,27/12/2016,37159,NRS Relief FZE,ARE,PLASTIC PRODUCTS (SHEETS & ROL,"177,300"
HQSMS,27/12/2016,37171,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"190,800"
IRQ01,27/12/2016,3086,Agreen Company,IRQ,WOOD POLES,"144,000"
IRQ01,27/12/2016,3086,Agreen Company,IRQ,WOOD POLES,"387,000"
IRQ01,27/12/2016,3087,Belad Al Naser for General Trade & Contr,IRQ,AGRICULTURE/ GARDEN TOOLS,"122,400"
IRQ01,27/12/2016,3089,MIHRAN COMPANY,IRQ,ROPES/ CHAINS/ WIRES,"172,500"
IRQ01,27/12/2016,3090,KHAIRAT AL BEWASIQ,IRQ,ROPES/ CHAINS/ WIRES,"360,000"
IRQ01,27/12/2016,3092,Jako Group,IRQ,BEDCLOTHES/ MATRESSES/ TOWELS,"1,896,000"
IRQ01,27/12/2016,3092,Jako Group,IRQ,FLOOR COVERINGS,"1,824,000"
IRQ01,27/12/2016,3093,Thaer Slewa Alah Wrdi Konda Co,IRQ,LAMP/ LAMP COMPONENTS,"510,000"
IRQ01,27/12/2016,3094,Qalay Nogharan,IRQ,TRANSPORT SUPPORT,"324,000"
IRQ01,27/12/2016,3094,Qalay Nogharan,IRQ,TRANSPORT SUPPORT,"276,000"
THA01,27/12/2016,1373,"TOYOTA THONBURI CO., LTD.",THA,4x4 STATION WAGON,"164,450"
IRQ01,25/12/2016,3077,Salahaddin University,IRQ,FINANCIAL SERVICES,"107,692"
IRQ01,25/12/2016,3080,Thaer Slewa Alah Wrdi Konda Co,IRQ,LAMP/ LAMP COMPONENTS,"170,000"
IRQ01,25/12/2016,3081,Al-Shefar Group International,IRQ,WATER CANS,"115,000"
IRQ01,25/12/2016,3082,RAM DIS TICARET A.S.,TUR,PERSONAL CARE PRODUCTS,"197,200"
IRQ01,25/12/2016,3082,RAM DIS TICARET A.S.,TUR,PERSONAL CARE PRODUCTS,"480,010"
IRQ01,25/12/2016,3083,Sayd Farhad Company,IRQ,HOUSEHOLD FURNITURE/EQUIPMENT,"1,303,500"
HQSMS,23/12/2016,37118,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"220,994"
HQSMS,23/12/2016,37119,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"183,240"
HQSMS,23/12/2016,37119,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"183,240"
HQSMS,23/12/2016,37119,Farmingtons AUTOMOTIVE Gmbh,DEU,ARMOURED VEHICLES,"183,240"
HQSMS,23/12/2016,37120,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"140,461"
HQSMS,23/12/2016,37122,PUYOUNG IND CO. LTD,KOR,PLASTIC PRODUCTS (SHEETS & ROL,"333,675"
HQSMS,23/12/2016,37125,KITCHEN ESSENTIALS,IND,KITCHENWARE,"101,850"
HQSMS,23/12/2016,37126,VISHAL METAL INDUSTRIES,IND,KITCHENWARE,"281,120"
HQSMS,23/12/2016,37131,SPARTAN RELIEF SUPPLIES LIMITED,KEN,KITCHENWARE,"282,240"
SYR01,23/12/2016,4606,AZAD Company,SYR,MAINTENANCE/ CONSTRUCTION SER,"132,900"
SYR01,23/12/2016,4606,AZAD Company,SYR,MAINTENANCE/ CONSTRUCTION SER,"199,350"
TUR01,23/12/2016,3201,Escudo Grup A. S.,TUR,LAMP/ LAMP COMPONENTS,"161,543"
UGA01,23/12/2016,5882,MUKWANO INDUSTRIES UGANDA LIMITED,UGA,WATER CANS,"134,287"
UGA01,23/12/2016,5903,ALL IN TRADE LIMITED,UGA,SECURITY/ DETECTION EQUIP/ SUP,"130,091"
UGA01,23/12/2016,5909,ARC CONSTRUCTION AND SUPPLIES CO LTD,UGA,MAINTENANCE/ CONSTRUCTION SER,"112,442"
UGA01,23/12/2016,5915,PAGRAM SOLUTIONS LIMITED,UGA,TRANSPORT SUPPORT,"193,498"
HQSMS,22/12/2016,37060,PRIYANKA (INDIA) PVT LTD,IND,KITCHENWARE,"683,281"
HQSMS,22/12/2016,37067,MICROSOFT IRELAND OPERATIONS LTD,IRL,COMPUTER SERVICES,"136,766"
HQSMS,22/12/2016,37068,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"630,584"
HQSMS,22/12/2016,37070,IMRES,NLD,MISC MEDICAL SUPPLIES,"298,508"
HQSMS,22/12/2016,37081,W.Giertsen Energy Solutions AS,NOR,LAMP/ LAMP COMPONENTS,"438,492"
HQSMS,22/12/2016,37085,Paramount Tarpaulin Industries,PAK,BLANKETS,"320,907"
Unit,PO Date,PO ID,Vendor Name,Vendor Cntry,Item Category Description,USD Amount
HQSMS,22/12/2016,37087,INTERNATIONAL DISPENSARY ASSOCIATION (ID,NLD,MISC DRUGS,"644,208"
HQSMS,22/12/2016,37094,WHO (UNICC),CHE,COMPUTER SERVICES,"207,377"
HQSMS,22/12/2016,37096,WHO (UNICC),CHE,COMPUTER SERVICES,"120,000"
HQSMS,22/12/2016,37096,WHO (UNICC),CHE,COMPUTER SERVICES,"125,000"
HQSMS,22/12/2016,37097,WHO (UNICC),CHE,COMPUTER SERVICES,"149,891"
HQSMS,22/12/2016,37099,ACCENTURE AG,CHE,COMPUTER SERVICES,"152,822"
HQSMS,22/12/2016,37104,DHL GLOBAL FORWARDING (DENMARK) A/S,DNK,TRANSPORT SUPPORT,"103,075"
JOR01,22/12/2016,4417,Irbid District Electricity Company LTD,JOR,MAINTENANCE/ CONSTRUCTION SER,"183,045"
KEN01,22/12/2016,9576,SAFI INTERNATIONAL AS,KEN,FUELS (UNSPECIFIED),"148,454"
KEN01,22/12/2016,9577,SAFI INTERNATIONAL AS,KEN,COOKING STOVES,"149,730"
KEN01,22/12/2016,9585,KENGAS LINK LTD,KEN,TRANSPORT SUPPORT,"139,792"
KEN01,22/12/2016,9586,MINOLTA LIMITED,KEN,TRANSPORT SUPPORT,"119,097"
LBN01,22/12/2016,2326,NASRI KARAM AND SONS S.A.R.L,LBN,BEDCLOTHES/ MATRESSES/ TOWELS,"592,000"
SYR01,22/12/2016,4603,ALNAAL INTERNATIONAL,CHN,ELECTRICAL SUPPL,"104,840"
SYR01,22/12/2016,4605,KARDISI Co.,IRQ,SEWING/ KNITTING EQUIP/ SUPPL,"492,630"
UGA01,22/12/2016,5862,SHELL STATION YUMBE,UGA,DIESEL,"142,818"
UGA01,22/12/2016,5879,MEDIPHARM HEALTHCARE (U) LIMITED,UGA,CLOTHING,"170,127"
UKR01,22/12/2016,2045,Caspian Commodity,UKR,FUELS (UNSPECIFIED),"535,922"
YEM01,22/12/2016,3038,AL-NADA Center for General Services,YEM,TRANSPORT SUPPORT,"500,000"
YEM01,22/12/2016,3039,Mohammed Al-Hadi office,YEM,TRANSPORT SUPPORT,"500,000"
DONIK,21/12/2016,386,Sheik Mohammed Bin Rashid Al Maktoum,ARE,TRANSPORT SUPPORT,"250,000"
ETH01,21/12/2016,5307,WORLD FOOD PROGRAMME,ITA,CARGO/PASSENGER TRANSPORT,"112,710"
ETH01,21/12/2016,5308,AL-YUSUF GENERAL CONTRACTOR,ETH,MAINTENANCE/ CONSTRUCTION SER,"268,060"
ETH01,21/12/2016,5311,Diligent Construction PLC,ETH,MAINTENANCE/ CONSTRUCTION SER,"282,550"
ETH01,21/12/2016,5312,HILINA ENRICHED FOODS PLC,ETH,PREPARED/ PRESERVED FOODS,"211,140"
